cost_id,employee_id,month,dept_id,level_code,cost_center,base_salary,bonus,overtime_pay,social_security_co,housing_fund_co,other_cost,total_cost
51,E00053,2025-01,D12,L2,D12,10400.0,10806.26,45.34,2080.0,1248.0,259.69,24839.29
52,E00054,2025-01,D02,L4,D02,18900.0,37662.69,196.92,3780.0,2268.0,56.47,62864.08
53,E00055,2025-01,D04,L3,D04,13400.0,10783.87,71.38,2680.0,1608.0,201.41,28744.66
54,E00056,2025-01,D05,L3,D05,15700.0,21927.76,282.4,3140.0,1884.0,179.84,43114.0
55,E00057,2025-01,D02,L1,D02,8100.0,7286.43,136.61,1620.0,972.0,50.16,18165.2
56,E00058,2025-01,D01,L1,D01,7300.0,7953.98,418.43,1460.0,876.0,257.06,18265.47
57,E00059,2025-01,D12,L4,D12,22500.0,21369.24,153.03,4500.0,2700.0,106.53,51328.8
58,E00061,2025-01,D06,L3,D06,16000.0,12531.75,186.2,3200.0,1920.0,51.91,33889.86
59,E00062,2025-01,D02,L6,D02,46700.0,67189.18,516.8,9340.0,5604.0,75.7,129425.68
60,E00063,2025-01,D04,L1,D04,7600.0,11183.14,127.03,1520.0,912.0,221.27,21563.44
61,E00064,2025-01,D01,L6,D01,43600.0,29215.61,496.5,8720.0,5232.0,240.24,87504.35
62,E00065,2025-01,D04,L2,D04,11800.0,9246.97,4.03,2360.0,1416.0,107.55,24934.55
63,E00066,2025-01,D01,L1,D01,6800.0,10486.56,330.6,1360.0,816.0,388.2,20181.36
64,E00067,2025-01,D02,L2,D02,10900.0,15703.47,74.43,2180.0,1308.0,360.16,30526.06
65,E00068,2025-01,D06,L5,D06,31700.0,23666.2,128.67,6340.0,3804.0,200.09,65838.96
66,E00069,2025-01,D11,L1,D11,9000.0,6161.72,132.06,1800.0,1080.0,76.68,18250.46
67,E00070,2025-01,D11,L4,D11,23200.0,40187.05,32.42,4640.0,2784.0,87.81,70931.28
68,E00071,2025-01,D02,L1,D02,9400.0,16718.38,177.17,1880.0,1128.0,318.93,29622.48
69,E00072,2025-01,D05,L2,D05,9600.0,18145.83,435.31,1920.0,1152.0,397.11,31650.25
70,E00073,2025-01,D01,L1,D01,7300.0,8371.5,118.57,1460.0,876.0,70.72,18196.79
71,E00074,2025-01,D01,L2,D01,10000.0,11196.62,199.58,2000.0,1200.0,239.34,24835.54
72,E00075,2025-01,D08,L1,D08,9100.0,15224.05,65.75,1820.0,1092.0,369.01,27670.81
73,E00076,2025-01,D02,L3,D02,17000.0,21557.66,105.54,3400.0,2040.0,153.7,44256.9
74,E00077,2025-01,D01,L1,D01,6900.0,8562.81,201.95,1380.0,828.0,173.96,18046.72
75,E00078,2025-01,D12,L2,D12,12500.0,10666.66,30.24,2500.0,1500.0,324.79,27521.69
76,E00079,2025-01,D05,L4,D05,18200.0,17344.35,502.3,3640.0,2184.0,152.65,42023.3
77,E00080,2025-01,D11,L3,D11,18600.0,20120.16,67.91,3720.0,2232.0,394.09,45134.16
78,E00081,2025-01,D12,L1,D12,7200.0,6977.76,58.52,1440.0,864.0,373.13,16913.41
79,E00082,2025-01,D01,L1,D01,7800.0,6515.69,447.64,1560.0,936.0,197.83,17457.16
80,E00083,2025-01,D01,L3,D01,18800.0,32680.41,1001.95,3760.0,2256.0,51.71,58550.07
81,E00084,2025-01,D01,L3,D01,13200.0,22705.41,145.54,2640.0,1584.0,167.46,40442.41
82,E00085,2025-01,D08,L4,D08,22800.0,41204.08,331.79,4560.0,2736.0,82.46,71714.33
83,E00086,2025-01,D07,L4,D07,19900.0,28774.6,261.73,3980.0,2388.0,399.91,55704.24
84,E00087,2025-01,D12,L6,D12,35100.0,23110.68,598.9,7020.0,4212.0,111.01,70152.59
85,E00088,2025-01,D01,L1,D01,8600.0,11196.01,35.81,1720.0,1032.0,59.57,22643.39
86,E00089,2025-01,D11,L3,D11,15600.0,24191.19,23.15,3120.0,1872.0,104.26,44910.6
87,E00090,2025-01,D01,L1,D01,7800.0,4904.77,8.26,1560.0,936.0,365.13,15574.16
88,E00091,2025-01,D06,L1,D06,9300.0,11917.11,49.34,1860.0,1116.0,399.42,24641.87
89,E00092,2025-01,D10,L3,D10,15100.0,21710.36,126.73,3020.0,1812.0,67.95,41837.04
90,E00093,2025-01,D01,L5,D01,35100.0,35073.3,296.08,7020.0,4212.0,391.93,82093.31
91,E00094,2025-01,D01,L1,D01,7000.0,5777.78,248.11,1400.0,840.0,210.55,15476.44
92,E00095,2025-01,D05,L4,D05,22500.0,36254.36,955.54,4500.0,2700.0,207.62,67117.52
93,E00096,2025-01,D06,L2,D06,9900.0,19045.37,104.28,1980.0,1188.0,304.14,32521.79
94,E00097,2025-01,D01,L1,D01,7400.0,5892.0,351.25,1480.0,888.0,184.92,16196.17
95,E00098,2025-01,D07,L4,D07,22000.0,39363.83,120.48,4400.0,2640.0,227.1,68751.41
96,E00099,2025-01,D09,L2,D09,9500.0,13449.5,49.15,1900.0,1140.0,343.83,26382.48
97,E00100,2025-01,D08,L3,D08,16100.0,31381.5,272.98,3220.0,1932.0,122.72,53029.2
98,E00101,2025-01,D01,L4,D01,24500.0,20320.74,14.49,4900.0,2940.0,127.95,52803.18
99,E00102,2025-01,D01,L3,D01,15800.0,8063.44,432.58,3160.0,1896.0,183.4,29535.42
100,E00103,2025-01,D11,L1,D11,7900.0,8749.55,139.28,1580.0,948.0,132.45,19449.28
101,E00104,2025-01,D02,L3,D02,18600.0,37131.27,65.69,3720.0,2232.0,136.61,61885.57
102,E00105,2025-01,D04,L7,D04,55300.0,81192.96,51.67,11060.0,6636.0,92.31,154332.94
103,E00106,2025-01,D04,L2,D04,11400.0,7850.22,120.0,2280.0,1368.0,270.18,23288.4
104,E00107,2025-01,D02,L1,D02,7600.0,4816.4,43.8,1520.0,912.0,313.21,15205.41
105,E00108,2025-01,D03,L5,D03,32600.0,21611.08,266.13,6520.0,3912.0,170.38,65079.59
106,E00109,2025-01,D01,L7,D01,56900.0,32850.75,2266.16,11380.0,6828.0,225.94,110450.85
107,E00110,2025-01,D02,L1,D02,7100.0,9251.82,104.2,1420.0,852.0,152.22,18880.24
108,E00111,2025-01,D12,L3,D12,14900.0,14229.99,103.69,2980.0,1788.0,339.17,34340.85
109,E00112,2025-01,D05,L3,D05,15500.0,22893.52,419.04,3100.0,1860.0,222.76,43995.32
110,E00113,2025-01,D12,L1,D12,7000.0,10132.61,107.41,1400.0,840.0,132.5,19612.52
111,E00114,2025-01,D01,L2,D01,10600.0,15787.86,124.11,2120.0,1272.0,373.84,30277.81
112,E00115,2025-01,D01,L5,D01,29700.0,46207.26,144.47,5940.0,3564.0,132.6,85688.33
113,E00116,2025-01,D08,L1,D08,7400.0,14362.08,127.29,1480.0,888.0,173.03,24430.4
114,E00117,2025-01,D06,L1,D06,7000.0,6258.79,103.67,1400.0,840.0,94.11,15696.57
115,E00118,2025-01,D05,L3,D05,17600.0,26779.4,934.06,3520.0,2112.0,155.18,51100.64
116,E00119,2025-01,D04,L3,D04,13700.0,22528.72,110.84,2740.0,1644.0,62.45,40786.01
117,E00120,2025-01,D01,L2,D01,9700.0,13744.68,178.6,1940.0,1164.0,367.4,27094.68
118,E00121,2025-01,D01,L1,D01,8700.0,14478.46,0.76,1740.0,1044.0,382.42,26345.64
119,E00123,2025-01,D06,L3,D06,15000.0,28151.29,193.93,3000.0,1800.0,183.21,48328.43
120,E00124,2025-01,D05,L5,D05,28400.0,40035.89,636.48,5680.0,3408.0,84.35,78244.72
121,E00125,2025-01,D04,L1,D04,6800.0,4432.54,13.13,1360.0,816.0,325.18,13746.85
122,E00126,2025-01,D12,L4,D12,22600.0,23871.31,372.89,4520.0,2712.0,154.04,54230.24
123,E00127,2025-01,D01,L1,D01,7800.0,4575.06,446.3,1560.0,936.0,399.06,15716.42
124,E00128,2025-01,D03,L4,D03,25700.0,43802.79,516.81,5140.0,3084.0,52.73,78296.33
125,E00129,2025-01,D04,L7,D04,71800.0,62827.16,808.73,14360.0,8616.0,144.79,158556.68
126,E00130,2025-01,D01,L2,D01,11900.0,10807.61,613.07,2380.0,1428.0,367.12,27495.8
127,E00131,2025-01,D11,L4,D11,23100.0,37340.68,418.12,4620.0,2772.0,338.58,68589.38
128,E00132,2025-01,D05,L4,D05,20800.0,40275.49,449.98,4160.0,2496.0,199.95,68381.42
129,E00133,2025-01,D01,L3,D01,14100.0,25616.7,56.26,2820.0,1692.0,136.07,44421.03
130,E00134,2025-01,D03,L4,D03,22300.0,11727.89,1316.07,4460.0,2676.0,314.18,42794.14
131,E00135,2025-01,D07,L2,D07,10400.0,10314.56,37.18,2080.0,1248.0,59.2,24138.94
132,E00136,2025-01,D01,L1,D01,7300.0,6866.46,275.46,1460.0,876.0,175.06,16952.98
133,E00137,2025-01,D12,L1,D12,9400.0,11506.43,31.02,1880.0,1128.0,301.38,24246.83
134,E00138,2025-01,D10,L1,D10,7400.0,6700.51,3.44,1480.0,888.0,101.73,16573.68
135,E00139,2025-01,D07,L3,D07,14200.0,9426.52,38.82,2840.0,1704.0,114.91,28324.25
136,E00140,2025-01,D05,L6,D05,40400.0,56081.19,539.28,8080.0,4848.0,110.92,110059.39
137,E00141,2025-01,D05,L5,D05,26100.0,14007.03,1447.26,5220.0,3132.0,153.99,50060.28
138,E00142,2025-01,D05,L4,D05,20400.0,36663.29,103.59,4080.0,2448.0,259.62,63954.5
139,E00143,2025-01,D05,L6,D05,43200.0,63983.86,1200.68,8640.0,5184.0,304.61,122513.15
140,E00144,2025-01,D06,L6,D06,36100.0,43751.44,208.52,7220.0,4332.0,284.3,91896.26
141,E00145,2025-01,D04,L7,D04,64500.0,55416.74,575.22,12900.0,7740.0,122.77,141254.73
142,E00146,2025-01,D06,L1,D06,7300.0,11506.73,66.72,1460.0,876.0,160.38,21369.83
143,E00147,2025-01,D02,L1,D02,8500.0,5519.35,36.03,1700.0,1020.0,307.43,17082.81
144,E00148,2025-01,D01,L3,D01,17400.0,21779.69,486.87,3480.0,2088.0,252.26,45486.82
145,E00149,2025-01,D01,L1,D01,6800.0,8642.89,345.3,1360.0,816.0,175.94,18140.13
146,E00150,2025-01,D01,L5,D01,29700.0,47998.73,1549.15,5940.0,3564.0,177.22,88929.1
147,E00151,2025-01,D07,L1,D07,9200.0,17432.86,59.05,1840.0,1104.0,161.57,29797.48
148,E00152,2025-01,D03,L3,D03,13700.0,11922.78,261.71,2740.0,1644.0,272.39,30540.88
149,E00153,2025-01,D01,L4,D01,23200.0,33119.39,474.08,4640.0,2784.0,160.22,64377.69
150,E00154,2025-01,D01,L2,D01,9400.0,6185.79,164.41,1880.0,1128.0,197.35,18955.55
151,E00155,2025-01,D03,L3,D03,18800.0,10923.88,270.62,3760.0,2256.0,222.58,36233.08
152,E00156,2025-01,D01,L3,D01,18500.0,33944.72,261.16,3700.0,2220.0,394.65,59020.53
153,E00157,2025-01,D06,L4,D06,24600.0,31217.29,274.73,4920.0,2952.0,191.53,64155.55
154,E00158,2025-01,D01,L5,D01,26800.0,14709.68,1368.58,5360.0,3216.0,277.62,51731.88
155,E00159,2025-01,D06,L1,D06,7800.0,14763.11,46.55,1560.0,936.0,308.34,25414.0
156,E00160,2025-01,D01,L1,D01,7600.0,7935.81,368.56,1520.0,912.0,291.62,18627.99
157,E00161,2025-01,D12,L7,D12,62300.0,84208.8,843.97,12460.0,7476.0,252.65,167541.42
158,E00162,2025-01,D03,L3,D03,16200.0,14131.83,482.97,3240.0,1944.0,294.84,36293.64
159,E00163,2025-01,D05,L1,D05,9300.0,12656.94,27.21,1860.0,1116.0,164.24,25124.39
160,E00164,2025-01,D03,L1,D03,6700.0,6922.57,6.73,1340.0,804.0,241.03,16014.33
161,E00165,2025-01,D01,L5,D01,30800.0,55498.12,373.44,6160.0,3696.0,168.92,96696.48
162,E00166,2025-01,D02,L3,D02,17400.0,16224.25,94.5,3480.0,2088.0,52.36,39339.11
163,E00167,2025-01,D08,L2,D08,12000.0,11771.2,169.56,2400.0,1440.0,275.86,28056.62
164,E00168,2025-01,D04,L1,D04,7300.0,14260.39,88.05,1460.0,876.0,170.39,24154.83
165,E00169,2025-01,D11,L1,D11,8800.0,10770.89,148.95,1760.0,1056.0,372.16,22908.0
166,E00170,2025-01,D03,L1,D03,8700.0,10537.16,378.7,1740.0,1044.0,360.31,22760.17
167,E00171,2025-01,D11,L1,D11,8000.0,11299.06,56.66,1600.0,960.0,351.02,22266.74
168,E00172,2025-01,D02,L4,D02,18200.0,24070.77,331.18,3640.0,2184.0,68.97,48494.92
169,E00173,2025-01,D01,L2,D01,11900.0,7695.21,375.45,2380.0,1428.0,146.76,23925.42
170,E00174,2025-01,D01,L6,D01,42400.0,84738.44,463.66,8480.0,5088.0,176.84,141346.94
171,E00175,2025-01,D04,L3,D04,16700.0,14909.09,163.79,3340.0,2004.0,68.51,37185.39
172,E00176,2025-01,D01,L2,D01,11000.0,20544.35,117.09,2200.0,1320.0,371.59,35553.03
173,E00177,2025-01,D09,L1,D09,9300.0,9386.89,44.69,1860.0,1116.0,120.43,21828.01
174,E00178,2025-01,D03,L1,D03,7700.0,10500.85,175.93,1540.0,924.0,128.72,20969.5
175,E00179,2025-01,D01,L5,D01,27100.0,14993.23,1424.89,5420.0,3252.0,93.13,52283.25
176,E00180,2025-01,D01,L5,D01,24800.0,22400.32,443.55,4960.0,2976.0,249.7,55829.57
177,E00181,2025-01,D01,L4,D01,24300.0,13651.21,913.84,4860.0,2916.0,380.06,47021.11
178,E00182,2025-01,D02,L2,D02,12100.0,17509.72,94.13,2420.0,1452.0,188.12,33763.97
179,E00183,2025-01,D07,L4,D07,23700.0,18518.01,145.22,4740.0,2844.0,252.86,50200.09
180,E00184,2025-01,D04,L2,D04,12000.0,6370.72,101.52,2400.0,1440.0,353.41,22665.65
181,E00185,2025-01,D04,L2,D04,10500.0,19611.01,41.44,2100.0,1260.0,261.2,33773.65
182,E00186,2025-01,D08,L1,D08,7000.0,7860.19,121.24,1400.0,840.0,180.83,17402.26
183,E00187,2025-01,D03,L1,D03,6600.0,6500.07,178.05,1320.0,792.0,116.56,15506.68
184,E00188,2025-01,D02,L2,D02,12800.0,20252.35,10.22,2560.0,1536.0,175.58,37334.15
185,E00189,2025-01,D12,L4,D12,20900.0,30439.77,80.28,4180.0,2508.0,399.88,58507.93
186,E00190,2025-01,D01,L1,D01,9000.0,15373.55,104.19,1800.0,1080.0,260.19,27617.93
187,E00191,2025-01,D06,L2,D06,11000.0,15843.89,172.5,2200.0,1320.0,75.84,30612.23
188,E00192,2025-01,D12,L1,D12,8500.0,6232.99,12.65,1700.0,1020.0,66.4,17532.04
189,E00193,2025-01,D12,L4,D12,19800.0,13593.48,270.05,3960.0,2376.0,399.48,40399.01
190,E00194,2025-01,D02,L6,D02,36600.0,30207.72,358.02,7320.0,4392.0,116.91,78994.65
191,E00195,2025-01,D04,L1,D04,9000.0,14311.17,174.02,1800.0,1080.0,241.84,26607.03
192,E00196,2025-01,D05,L2,D05,9800.0,17956.4,556.92,1960.0,1176.0,309.26,31758.58
193,E00197,2025-01,D01,L4,D01,24300.0,40672.16,815.07,4860.0,2916.0,324.5,73887.73
194,E00198,2025-01,D03,L3,D03,16600.0,21161.35,855.43,3320.0,1992.0,291.96,44220.74
195,E00199,2025-01,D03,L2,D03,10000.0,13279.72,554.22,2000.0,1200.0,370.97,27404.91
196,E00200,2025-01,D01,L3,D01,18400.0,28342.89,459.61,3680.0,2208.0,184.95,53275.45
197,E00201,2025-01,D06,L1,D06,7700.0,8814.98,101.76,1540.0,924.0,154.42,19235.16
198,E00202,2025-01,D03,L4,D03,20400.0,16317.87,240.2,4080.0,2448.0,80.95,43567.02
199,E00203,2025-01,D07,L7,D07,66000.0,64723.88,788.58,13200.0,7920.0,124.83,152757.29
200,E00204,2025-01,D07,L2,D07,12300.0,22733.26,16.24,2460.0,1476.0,112.97,39098.47
201,E00205,2025-01,D02,L1,D02,7200.0,5114.91,42.25,1440.0,864.0,311.15,14972.31
202,E00206,2025-01,D11,L3,D11,18300.0,12116.85,334.06,3660.0,2196.0,69.06,36675.97
203,E00207,2025-01,D01,L5,D01,28800.0,27571.01,1720.7,5760.0,3456.0,130.57,67438.28
204,E00208,2025-01,D05,L5,D05,29500.0,31414.66,1100.35,5900.0,3540.0,260.46,71715.47
205,E00209,2025-01,D01,L1,D01,8900.0,7990.45,350.53,1780.0,1068.0,230.34,20319.32
206,E00210,2025-01,D11,L5,D11,29400.0,27130.96,348.41,5880.0,3528.0,335.53,66622.9
207,E00211,2025-01,D01,L3,D01,16900.0,30184.12,180.43,3380.0,2028.0,178.63,52851.18
208,E00212,2025-01,D06,L1,D06,8500.0,10844.85,15.36,1700.0,1020.0,369.84,22450.05
209,E00213,2025-01,D04,L5,D04,26100.0,43219.61,347.73,5220.0,3132.0,179.05,78198.39
210,E00214,2025-01,D07,L1,D07,7700.0,7099.25,63.63,1540.0,924.0,352.87,17679.75
211,E00215,2025-01,D01,L1,D01,8200.0,4533.87,89.79,1640.0,984.0,128.62,15576.28
212,E00217,2025-01,D01,L5,D01,30700.0,22828.31,205.66,6140.0,3684.0,302.18,63860.15
213,E00218,2025-01,D03,L6,D03,40500.0,28493.48,1595.04,8100.0,4860.0,385.93,83934.45
214,E00219,2025-01,D01,L4,D01,22300.0,39986.88,81.0,4460.0,2676.0,88.67,69592.55
215,E00220,2025-01,D01,L1,D01,8500.0,7171.22,180.97,1700.0,1020.0,291.37,18863.56
216,E00221,2025-01,D09,L1,D09,6900.0,7211.91,6.81,1380.0,828.0,83.31,16410.03
217,E00222,2025-01,D04,L3,D04,13600.0,17895.3,224.52,2720.0,1632.0,376.33,36448.15
218,E00223,2025-01,D02,L4,D02,18100.0,21714.77,244.87,3620.0,2172.0,181.92,46033.56
219,E00225,2025-01,D08,L1,D08,8000.0,14446.76,48.14,1600.0,960.0,185.17,25240.07
220,E00226,2025-01,D12,L1,D12,8200.0,9257.42,48.52,1640.0,984.0,129.31,20259.25
221,E00227,2025-01,D05,L2,D05,9900.0,12292.96,452.74,1980.0,1188.0,51.09,25864.79
222,E00228,2025-01,D11,L7,D11,63100.0,55892.4,968.38,12620.0,7572.0,81.43,140234.21
223,E00229,2025-01,D01,L3,D01,16800.0,8799.94,40.59,3360.0,2016.0,271.09,31287.62
224,E00230,2025-01,D08,L4,D08,20600.0,15821.09,357.19,4120.0,2472.0,362.74,43733.02
225,E00231,2025-01,D08,L6,D08,37600.0,53650.87,152.58,7520.0,4512.0,162.57,103598.02
226,E00232,2025-01,D01,L5,D01,28100.0,38877.49,436.09,5620.0,3372.0,383.69,76789.27
227,E00233,2025-01,D09,L4,D09,20000.0,25782.2,143.65,4000.0,2400.0,191.61,52517.46
228,E00234,2025-01,D11,L6,D11,35700.0,25328.61,107.16,7140.0,4284.0,168.57,72728.34
229,E00235,2025-01,D03,L6,D03,41000.0,33710.01,1090.15,8200.0,4920.0,313.94,89234.1
230,E00236,2025-01,D04,L1,D04,8300.0,15789.08,1.11,1660.0,996.0,321.63,27067.82
231,E00237,2025-01,D03,L1,D03,9400.0,10929.24,559.18,1880.0,1128.0,193.53,24089.95
232,E00238,2025-01,D01,L2,D01,9700.0,10450.32,520.48,1940.0,1164.0,223.83,23998.63
233,E00239,2025-01,D02,L3,D02,14700.0,28412.92,56.3,2940.0,1764.0,157.59,48030.81
234,E00240,2025-01,D04,L2,D04,11900.0,15826.41,17.66,2380.0,1428.0,71.18,31623.25
235,E00241,2025-01,D05,L1,D05,8300.0,13611.57,406.93,1660.0,996.0,60.84,25035.34
236,E00243,2025-01,D12,L4,D12,21500.0,11539.82,107.82,4300.0,2580.0,57.76,40085.4
237,E00244,2025-01,D01,L4,D01,21000.0,35389.27,1012.53,4200.0,2520.0,207.24,64329.04
238,E00245,2025-01,D01,L6,D01,37800.0,40190.89,63.68,7560.0,4536.0,386.53,90537.1
239,E00246,2025-01,D01,L1,D01,8600.0,17080.35,68.55,1720.0,1032.0,284.43,28785.33
240,E00247,2025-01,D01,L2,D01,9700.0,10240.1,441.66,1940.0,1164.0,240.41,23726.17
241,E00248,2025-01,D01,L1,D01,7900.0,7455.77,52.7,1580.0,948.0,95.27,18031.74
242,E00249,2025-01,D05,L6,D05,39500.0,49549.05,1188.01,7900.0,4740.0,111.13,102988.19
243,E00250,2025-01,D01,L1,D01,8600.0,10544.43,379.11,1720.0,1032.0,398.54,22674.08
244,E00251,2025-01,D01,L2,D01,11600.0,14261.71,535.49,2320.0,1392.0,399.29,30508.49
245,E00252,2025-01,D11,L2,D11,11000.0,7951.21,215.94,2200.0,1320.0,267.69,22954.84
246,E00253,2025-01,D12,L3,D12,14000.0,8154.31,207.65,2800.0,1680.0,150.53,26992.49
247,E00254,2025-01,D01,L2,D01,11100.0,19869.81,370.98,2220.0,1332.0,247.16,35139.95
248,E00255,2025-01,D12,L7,D12,56800.0,109826.7,97.98,11360.0,6816.0,201.39,185102.07
249,E00256,2025-01,D04,L5,D04,28400.0,18916.5,39.81,5680.0,3408.0,196.14,56640.45
250,E00257,2025-01,D08,L2,D08,10700.0,20972.09,162.52,2140.0,1284.0,283.92,35542.53
251,E00258,2025-01,D05,L3,D05,16400.0,20591.57,737.1,3280.0,1968.0,248.34,43225.01
252,E00259,2025-01,D02,L4,D02,25300.0,37065.56,320.21,5060.0,3036.0,184.34,70966.11
253,E00260,2025-01,D01,L6,D01,41100.0,35069.87,1309.72,8220.0,4932.0,334.11,90965.7
254,E00261,2025-01,D10,L3,D10,14000.0,16479.84,166.44,2800.0,1680.0,80.31,35206.59
255,E00262,2025-01,D02,L1,D02,6700.0,6871.55,122.65,1340.0,804.0,170.46,16008.66
256,E00263,2025-01,D09,L2,D09,12800.0,17738.26,61.25,2560.0,1536.0,317.76,35013.27
257,E00264,2025-01,D01,L2,D01,9700.0,7697.56,26.75,1940.0,1164.0,372.81,20901.12
258,E00265,2025-01,D02,L4,D02,19800.0,24054.88,87.83,3960.0,2376.0,372.38,50651.09
259,E00266,2025-01,D04,L3,D04,16700.0,12395.95,91.5,3340.0,2004.0,109.48,34640.93
260,E00267,2025-01,D07,L2,D07,10100.0,14025.74,72.78,2020.0,1212.0,104.55,27535.07
261,E00268,2025-01,D03,L2,D03,9600.0,5656.77,354.26,1920.0,1152.0,269.45,18952.48
262,E00269,2025-01,D01,L4,D01,23100.0,19565.7,424.25,4620.0,2772.0,157.04,50638.99
