hc_id,dept_id,level_code,month,hc_budget,hc_actual
232,D10,L2,2025-03,12,11
233,D04,L6,2025-03,12,11
234,D05,L7,2025-03,3,3
235,D09,L3,2025-03,17,16
236,D04,L4,2025-03,39,35
237,D10,L6,2025-03,9,9
238,D09,L6,2025-03,10,9
239,D12,L5,2025-03,18,17
240,D08,L5,2025-03,11,10
241,D02,L7,2025-03,6,5
242,D07,L5,2025-03,13,12
243,D07,L6,2025-03,12,11
244,D09,L5,2025-03,11,10
245,D06,L7,2025-03,3,3
246,D03,L7,2025-03,8,7
247,D10,L5,2025-03,7,6
248,D09,L7,2025-03,1,1
249,D08,L7,2025-03,2,2
250,D01,L1,2025-04,305,275
251,D03,L4,2025-04,70,61
252,D01,L3,2025-04,211,192
253,D01,L5,2025-04,107,92
254,D11,L2,2025-04,77,68
255,D03,L1,2025-04,169,146
256,D01,L4,2025-04,193,169
257,D02,L4,2025-04,62,58
258,D11,L1,2025-04,88,82
259,D11,L6,2025-04,15,14
260,D01,L2,2025-04,236,218
261,D03,L2,2025-04,151,129
262,D12,L1,2025-04,72,68
263,D11,L3,2025-04,59,57
264,D11,L4,2025-04,51,47
265,D05,L1,2025-04,87,83
266,D04,L1,2025-04,57,53
267,D11,L5,2025-04,47,43
268,D06,L2,2025-04,64,60
269,D05,L2,2025-04,76,68
270,D08,L3,2025-04,29,26
271,D06,L3,2025-04,54,48
272,D01,L6,2025-04,96,83
273,D10,L4,2025-04,15,14
274,D02,L3,2025-04,98,86
275,D09,L4,2025-04,21,20
276,D07,L1,2025-04,33,32
277,D02,L1,2025-04,124,113
278,D02,L6,2025-04,32,31
279,D04,L2,2025-04,60,54
280,D02,L2,2025-04,98,88
281,D06,L5,2025-04,26,23
282,D08,L1,2025-04,49,44
283,D05,L4,2025-04,35,34
284,D08,L4,2025-04,30,27
285,D07,L4,2025-04,26,24
286,D03,L6,2025-04,33,28
287,D06,L1,2025-04,92,86
288,D10,L3,2025-04,11,10
289,D09,L2,2025-04,23,21
290,D04,L7,2025-04,6,6
291,D03,L5,2025-04,48,43
292,D01,L7,2025-04,28,24
293,D12,L3,2025-04,49,47
294,D05,L3,2025-04,59,54
295,D04,L3,2025-04,52,47
296,D05,L5,2025-04,28,25
297,D12,L4,2025-04,37,34
298,D07,L2,2025-04,36,33
299,D10,L1,2025-04,15,14
300,D05,L6,2025-04,20,18
301,D06,L6,2025-04,21,19
302,D03,L3,2025-04,101,88
303,D06,L4,2025-04,47,45
304,D12,L7,2025-04,7,7
305,D08,L2,2025-04,28,27
306,D09,L1,2025-04,30,28
307,D07,L7,2025-04,10,9
308,D04,L5,2025-04,23,21
309,D11,L7,2025-04,5,4
310,D08,L6,2025-04,14,13
311,D09,L3,2025-04,18,17
312,D12,L2,2025-04,52,47
313,D07,L3,2025-04,40,35
314,D10,L2,2025-04,14,13
315,D02,L5,2025-04,44,40
316,D04,L6,2025-04,14,13
317,D05,L7,2025-04,3,3
318,D04,L4,2025-04,38,37
319,D10,L6,2025-04,11,10
320,D09,L6,2025-04,10,9
321,D12,L5,2025-04,19,18
322,D08,L5,2025-04,11,10
323,D02,L7,2025-04,5,4
324,D12,L6,2025-04,19,17
325,D07,L5,2025-04,12,11
326,D07,L6,2025-04,12,11
327,D09,L5,2025-04,11,10
328,D06,L7,2025-04,3,3
329,D03,L7,2025-04,8,7
330,D10,L5,2025-04,8,8
331,D09,L7,2025-04,1,1
332,D08,L7,2025-04,3,3
333,D01,L1,2025-05,300,277
334,D03,L4,2025-05,69,59
335,D01,L3,2025-05,223,193
336,D01,L5,2025-05,107,91
337,D11,L2,2025-05,80,70
338,D03,L1,2025-05,169,147
339,D01,L4,2025-05,197,174
340,D02,L4,2025-05,69,63
341,D11,L1,2025-05,93,82
342,D11,L6,2025-05,15,14
343,D01,L2,2025-05,259,220
344,D03,L2,2025-05,148,132
345,D12,L1,2025-05,75,70
346,D11,L3,2025-05,59,57
347,D11,L4,2025-05,52,49
348,D05,L1,2025-05,94,83
349,D04,L1,2025-05,55,53
350,D11,L5,2025-05,46,42
351,D06,L2,2025-05,64,62
352,D05,L2,2025-05,75,68
353,D08,L3,2025-05,29,26
354,D06,L3,2025-05,55,51
355,D01,L6,2025-05,95,83
356,D10,L4,2025-05,16,15
357,D09,L4,2025-05,21,20
358,D07,L1,2025-05,36,32
359,D02,L1,2025-05,117,114
360,D02,L6,2025-05,34,31
361,D04,L2,2025-05,63,56
362,D02,L2,2025-05,98,90
363,D06,L5,2025-05,25,23
364,D08,L1,2025-05,47,42
365,D02,L3,2025-05,97,87
366,D05,L4,2025-05,33,31
367,D08,L4,2025-05,28,27
368,D07,L4,2025-05,28,26
369,D03,L6,2025-05,29,27
370,D06,L1,2025-05,99,87
371,D10,L3,2025-05,11,10
372,D09,L2,2025-05,24,22
373,D04,L7,2025-05,7,7
374,D03,L5,2025-05,49,45
375,D01,L7,2025-05,26,24
376,D12,L3,2025-05,51,48
377,D05,L3,2025-05,63,57
378,D04,L3,2025-05,48,46
379,D05,L5,2025-05,31,27
380,D12,L4,2025-05,40,38
381,D07,L2,2025-05,37,33
382,D10,L1,2025-05,14,13
383,D05,L6,2025-05,19,17
384,D06,L6,2025-05,20,19
385,D03,L3,2025-05,105,90
386,D06,L4,2025-05,46,43
387,D12,L7,2025-05,8,8
388,D08,L2,2025-05,29,28
389,D09,L1,2025-05,28,27
390,D07,L7,2025-05,10,9
391,D04,L5,2025-05,22,21
392,D11,L7,2025-05,4,4
393,D08,L6,2025-05,14,13
394,D09,L3,2025-05,17,16
395,D12,L2,2025-05,50,48
396,D07,L3,2025-05,36,33
397,D10,L2,2025-05,17,15
398,D02,L5,2025-05,41,39
399,D04,L6,2025-05,15,13
400,D05,L7,2025-05,3,3
401,D04,L4,2025-05,44,40
402,D10,L6,2025-05,12,11
403,D12,L5,2025-05,21,19
404,D08,L5,2025-05,13,12
405,D02,L7,2025-05,4,4
406,D12,L6,2025-05,17,16
407,D09,L6,2025-05,8,7
408,D07,L5,2025-05,11,10
409,D07,L6,2025-05,13,11
410,D09,L5,2025-05,11,10
411,D06,L7,2025-05,3,3
412,D03,L7,2025-05,9,8
413,D10,L5,2025-05,9,8
414,D09,L7,2025-05,1,1
415,D08,L7,2025-05,3,3
416,D01,L1,2025-06,315,277
417,D03,L4,2025-06,72,62
418,D01,L3,2025-06,227,197
419,D01,L5,2025-06,111,98
420,D11,L2,2025-06,73,70
421,D03,L1,2025-06,162,148
422,D01,L4,2025-06,190,171
423,D02,L4,2025-06,64,60
424,D11,L1,2025-06,89,84
425,D11,L6,2025-06,17,16
426,D01,L2,2025-06,248,221
427,D03,L2,2025-06,150,135
428,D12,L1,2025-06,75,70
429,D11,L3,2025-06,62,57
430,D11,L4,2025-06,56,50
431,D05,L1,2025-06,85,82
432,D04,L1,2025-06,60,57
433,D11,L5,2025-06,47,42
434,D06,L2,2025-06,74,66
435,D05,L2,2025-06,77,69
436,D08,L3,2025-06,29,26
437,D06,L3,2025-06,52,49
438,D01,L6,2025-06,100,85
439,D10,L4,2025-06,17,15
440,D09,L4,2025-06,23,22
441,D07,L1,2025-06,35,32
442,D02,L1,2025-06,131,119
443,D02,L6,2025-06,32,31
444,D04,L2,2025-06,60,54
445,D02,L2,2025-06,98,89
446,D06,L5,2025-06,24,21
447,D08,L1,2025-06,46,42
448,D02,L3,2025-06,93,87
449,D05,L4,2025-06,32,31
450,D08,L4,2025-06,29,28
451,D07,L4,2025-06,32,28
452,D03,L6,2025-06,31,28
453,D06,L1,2025-06,100,91
454,D10,L3,2025-06,11,10
455,D09,L2,2025-06,22,21
456,D04,L7,2025-06,7,7
457,D03,L5,2025-06,55,48
458,D01,L7,2025-06,27,23
459,D12,L3,2025-06,53,50
460,D05,L3,2025-06,65,58
461,D04,L3,2025-06,50,46
462,D05,L5,2025-06,30,28
463,D12,L4,2025-06,41,38
464,D07,L2,2025-06,37,33
465,D10,L1,2025-06,15,13
466,D05,L6,2025-06,20,19
467,D06,L6,2025-06,20,19
468,D03,L3,2025-06,105,91
469,D06,L4,2025-06,47,44
470,D12,L7,2025-06,9,8
471,D08,L2,2025-06,34,31
472,D09,L1,2025-06,29,26
473,D07,L7,2025-06,10,9
474,D04,L5,2025-06,23,22
475,D11,L7,2025-06,3,3
476,D08,L6,2025-06,13,12
477,D09,L3,2025-06,18,17
478,D12,L2,2025-06,55,50
479,D07,L3,2025-06,35,33
480,D10,L2,2025-06,17,15
481,D02,L5,2025-06,49,43
482,D04,L6,2025-06,14,13
483,D05,L7,2025-06,3,3
484,D04,L4,2025-06,45,40
485,D10,L6,2025-06,12,11
486,D08,L5,2025-06,15,14
487,D02,L7,2025-06,4,4
488,D12,L6,2025-06,18,16
489,D09,L6,2025-06,7,6
490,D07,L5,2025-06,11,10
491,D12,L5,2025-06,19,17
492,D07,L6,2025-06,12,11
493,D09,L5,2025-06,13,11
494,D03,L7,2025-06,9,8
495,D10,L5,2025-06,10,9
496,D06,L7,2025-06,2,2
497,D09,L7,2025-06,1,1
498,D08,L7,2025-06,4,4
499,D01,L1,2025-07,295,276
500,D03,L4,2025-07,68,62
501,D01,L3,2025-07,225,200
502,D01,L5,2025-07,107,101
503,D11,L2,2025-07,72,70
504,D03,L1,2025-07,156,144
505,D01,L4,2025-07,197,175
506,D02,L4,2025-07,62,58
507,D11,L1,2025-07,87,84
508,D11,L6,2025-07,17,16
509,D01,L2,2025-07,242,217
510,D03,L2,2025-07,152,138
511,D12,L1,2025-07,72,69
512,D11,L3,2025-07,64,58
513,D11,L4,2025-07,49,47
514,D05,L1,2025-07,91,82
515,D04,L1,2025-07,63,56
516,D11,L5,2025-07,50,44
517,D06,L2,2025-07,72,65
518,D05,L2,2025-07,83,73
519,D08,L3,2025-07,28,26
520,D06,L3,2025-07,50,48
521,D01,L6,2025-07,94,86
522,D10,L4,2025-07,17,15
523,D09,L4,2025-07,24,22
524,D07,L1,2025-07,35,31
525,D02,L1,2025-07,131,123
526,D02,L6,2025-07,32,31
527,D04,L2,2025-07,55,52
528,D02,L2,2025-07,106,96
529,D06,L5,2025-07,23,21
530,D08,L1,2025-07,48,45
531,D05,L4,2025-07,36,33
532,D08,L4,2025-07,30,27
533,D07,L4,2025-07,27,25
534,D03,L6,2025-07,30,27
535,D06,L1,2025-07,92,88
536,D10,L3,2025-07,13,12
537,D09,L2,2025-07,21,20
538,D02,L3,2025-07,91,86
539,D04,L7,2025-07,8,7
540,D03,L5,2025-07,51,47
541,D01,L7,2025-07,24,22
542,D12,L3,2025-07,54,50
543,D05,L3,2025-07,67,63
544,D04,L3,2025-07,48,47
545,D05,L5,2025-07,30,27
546,D12,L4,2025-07,41,38
547,D07,L2,2025-07,37,35
548,D10,L1,2025-07,14,13
549,D05,L6,2025-07,22,20
550,D03,L3,2025-07,98,95
551,D06,L4,2025-07,48,45
552,D12,L7,2025-07,9,8
553,D08,L2,2025-07,37,33
554,D09,L1,2025-07,29,26
555,D07,L7,2025-07,11,10
556,D04,L5,2025-07,22,20
557,D11,L7,2025-07,3,3
558,D08,L6,2025-07,13,12
559,D09,L3,2025-07,17,16
560,D12,L2,2025-07,53,49
561,D07,L3,2025-07,37,34
562,D02,L5,2025-07,43,41
563,D04,L6,2025-07,14,13
564,D05,L7,2025-07,3,3
565,D04,L4,2025-07,46,41
566,D06,L6,2025-07,21,18
567,D10,L6,2025-07,11,10
568,D10,L2,2025-07,14,13
569,D08,L5,2025-07,15,14
570,D02,L7,2025-07,4,4
571,D12,L6,2025-07,18,17
572,D09,L6,2025-07,6,6
573,D07,L5,2025-07,10,9
574,D12,L5,2025-07,20,18
575,D07,L6,2025-07,10,9
576,D09,L5,2025-07,15,13
577,D03,L7,2025-07,9,8
578,D10,L5,2025-07,8,8
579,D06,L7,2025-07,2,2
580,D09,L7,2025-07,1,1
581,D08,L7,2025-07,4,4
582,D01,L1,2025-08,317,279
583,D03,L4,2025-08,70,63
584,D01,L3,2025-08,214,202
585,D01,L5,2025-08,113,100
586,D11,L2,2025-08,76,71
587,D03,L1,2025-08,161,147
588,D01,L4,2025-08,184,174
589,D02,L4,2025-08,66,60
590,D11,L1,2025-08,91,85
591,D11,L6,2025-08,18,16
592,D01,L2,2025-08,243,222
593,D12,L1,2025-08,80,72
594,D11,L3,2025-08,63,57
595,D11,L4,2025-08,56,49
596,D05,L1,2025-08,87,84
597,D04,L1,2025-08,57,55
598,D06,L5,2025-08,24,21
599,D06,L2,2025-08,70,65
600,D03,L2,2025-08,149,139
601,D05,L2,2025-08,75,73
602,D08,L3,2025-08,28,26
603,D06,L3,2025-08,46,45
604,D01,L6,2025-08,98,87
605,D10,L4,2025-08,15,14
606,D09,L4,2025-08,23,21
607,D07,L1,2025-08,34,32
608,D02,L1,2025-08,132,126
609,D02,L6,2025-08,31,29
610,D04,L2,2025-08,59,53
611,D02,L2,2025-08,109,96
612,D08,L1,2025-08,47,43
613,D05,L4,2025-08,37,34
614,D08,L4,2025-08,31,28
615,D07,L4,2025-08,29,26
616,D03,L6,2025-08,27,26
617,D06,L1,2025-08,100,90
618,D10,L3,2025-08,13,12
619,D09,L2,2025-08,22,20
620,D02,L3,2025-08,91,88
621,D04,L7,2025-08,8,7
622,D03,L5,2025-08,51,45
623,D01,L7,2025-08,24,23
624,D12,L3,2025-08,53,47
625,D05,L3,2025-08,68,65
626,D05,L5,2025-08,32,29
627,D12,L4,2025-08,39,37
628,D07,L2,2025-08,41,37
629,D10,L1,2025-08,15,13
630,D05,L6,2025-08,21,20
631,D03,L3,2025-08,102,94
632,D06,L4,2025-08,48,44
633,D12,L7,2025-08,9,9
634,D08,L2,2025-08,36,34
635,D04,L3,2025-08,52,46
636,D09,L1,2025-08,26,25
637,D07,L7,2025-08,11,10
638,D11,L5,2025-08,45,43
639,D04,L5,2025-08,23,21
640,D11,L7,2025-08,3,3
641,D08,L6,2025-08,12,11
642,D09,L3,2025-08,18,17
643,D12,L2,2025-08,54,52
644,D07,L3,2025-08,35,34
645,D02,L5,2025-08,45,42
646,D04,L6,2025-08,14,13
647,D05,L7,2025-08,3,3
648,D04,L4,2025-08,43,40
649,D06,L6,2025-08,21,19
650,D10,L6,2025-08,11,10
651,D10,L2,2025-08,13,13
652,D08,L5,2025-08,15,13
653,D02,L7,2025-08,4,4
654,D12,L6,2025-08,19,17
655,D07,L5,2025-08,11,10
656,D12,L5,2025-08,19,18
657,D07,L6,2025-08,11,10
658,D09,L5,2025-08,15,13
659,D09,L6,2025-08,7,6
660,D03,L7,2025-08,9,9
661,D10,L5,2025-08,9,9
662,D06,L7,2025-08,3,3
663,D09,L7,2025-08,1,1
664,D08,L7,2025-08,3,3
665,D01,L1,2025-09,302,288
666,D03,L4,2025-09,68,62
667,D01,L3,2025-09,228,207
668,D01,L5,2025-09,104,100
669,D11,L2,2025-09,81,72
670,D03,L1,2025-09,157,151
671,D01,L4,2025-09,187,167
672,D02,L4,2025-09,67,61
673,D11,L1,2025-09,91,85
674,D11,L6,2025-09,18,17
675,D01,L2,2025-09,238,226
676,D12,L1,2025-09,81,75
677,D11,L3,2025-09,60,57
678,D11,L4,2025-09,54,49
679,D05,L1,2025-09,92,85
680,D04,L1,2025-09,64,58
681,D06,L5,2025-09,24,22
682,D06,L2,2025-09,71,62
683,D03,L2,2025-09,151,138
684,D05,L2,2025-09,80,73
685,D08,L3,2025-09,27,25
686,D06,L3,2025-09,49,47
687,D01,L6,2025-09,95,89
688,D10,L4,2025-09,14,13
689,D09,L4,2025-09,21,20
690,D07,L1,2025-09,37,35
691,D02,L1,2025-09,144,129
692,D02,L6,2025-09,32,29
693,D04,L2,2025-09,58,54
694,D02,L2,2025-09,105,101
695,D08,L1,2025-09,47,42
696,D05,L4,2025-09,38,36
697,D08,L4,2025-09,30,29
698,D07,L4,2025-09,27,26
699,D03,L6,2025-09,25,24
700,D06,L1,2025-09,96,91
701,D10,L3,2025-09,14,13
702,D09,L2,2025-09,21,20
703,D02,L3,2025-09,98,87
704,D04,L7,2025-09,7,7
705,D03,L5,2025-09,49,44
706,D01,L7,2025-09,28,26
707,D12,L3,2025-09,53,47
708,D05,L3,2025-09,71,66
709,D05,L5,2025-09,30,28
710,D12,L4,2025-09,39,38
711,D07,L2,2025-09,41,37
712,D10,L1,2025-09,13,13
713,D05,L6,2025-09,19,18
714,D03,L3,2025-09,110,97
715,D06,L4,2025-09,45,43
716,D12,L7,2025-09,8,8
717,D08,L2,2025-09,41,37
718,D04,L3,2025-09,50,48
719,D09,L1,2025-09,26,25
720,D07,L7,2025-09,10,10
721,D11,L5,2025-09,50,46
722,D04,L5,2025-09,24,21
723,D11,L7,2025-09,4,4
724,D08,L6,2025-09,11,11
725,D09,L3,2025-09,16,15
726,D12,L2,2025-09,56,54
727,D07,L3,2025-09,35,31
728,D02,L5,2025-09,45,43
729,D04,L6,2025-09,17,15
730,D05,L7,2025-09,3,3
731,D04,L4,2025-09,44,39
732,D06,L6,2025-09,21,18
733,D10,L6,2025-09,11,10
734,D10,L2,2025-09,15,13
735,D08,L5,2025-09,14,13
736,D02,L7,2025-09,3,3
737,D12,L6,2025-09,19,17
738,D07,L5,2025-09,11,10
739,D12,L5,2025-09,21,19
740,D07,L6,2025-09,11,10
741,D03,L7,2025-09,10,9
742,D09,L5,2025-09,15,13
743,D09,L6,2025-09,8,7
744,D10,L5,2025-09,11,10
745,D06,L7,2025-09,3,3
746,D09,L7,2025-09,1,1
747,D08,L7,2025-09,3,3
748,D10,L7,2025-09,1,1
749,D01,L1,2025-10,327,288
750,D03,L4,2025-10,72,65
751,D01,L3,2025-10,222,210
752,D01,L5,2025-10,107,102
753,D11,L2,2025-10,76,73
754,D03,L1,2025-10,172,154
755,D01,L4,2025-10,188,172
756,D02,L4,2025-10,73,65
757,D11,L1,2025-10,91,86
758,D11,L6,2025-10,19,17
759,D01,L2,2025-10,249,223
760,D12,L1,2025-10,80,77
761,D11,L3,2025-10,66,59
762,D05,L1,2025-10,96,86
763,D04,L1,2025-10,67,61
764,D06,L5,2025-10,25,24
765,D06,L2,2025-10,63,60
766,D03,L2,2025-10,145,138
767,D05,L2,2025-10,78,73
768,D06,L3,2025-10,50,45
769,D01,L6,2025-10,92,88
770,D10,L4,2025-10,12,12
771,D09,L4,2025-10,21,19
772,D07,L1,2025-10,40,36
773,D02,L1,2025-10,147,132
774,D02,L6,2025-10,29,27
775,D04,L2,2025-10,52,49
776,D02,L2,2025-10,109,105
777,D11,L4,2025-10,52,47
778,D08,L1,2025-10,45,41
779,D05,L4,2025-10,37,36
780,D08,L4,2025-10,32,31
781,D07,L4,2025-10,30,26
782,D03,L6,2025-10,26,23
783,D06,L1,2025-10,99,90
784,D10,L3,2025-10,14,13
785,D09,L2,2025-10,22,21
786,D08,L3,2025-10,28,25
787,D02,L3,2025-10,88,84
788,D04,L7,2025-10,9,8
789,D03,L5,2025-10,50,44
790,D01,L7,2025-10,28,27
791,D12,L3,2025-10,51,46
792,D05,L3,2025-10,71,67
793,D05,L5,2025-10,32,30
794,D12,L4,2025-10,42,39
795,D07,L2,2025-10,38,36
796,D10,L1,2025-10,15,14
797,D05,L6,2025-10,18,17
798,D03,L3,2025-10,110,98
799,D06,L4,2025-10,47,43
800,D12,L7,2025-10,8,7
801,D08,L2,2025-10,37,36
802,D04,L3,2025-10,51,48
803,D09,L1,2025-10,25,23
804,D07,L7,2025-10,10,10
805,D11,L5,2025-10,51,46
806,D04,L5,2025-10,23,22
807,D11,L7,2025-10,3,3
808,D08,L6,2025-10,10,10
809,D09,L3,2025-10,18,16
810,D12,L2,2025-10,62,57
811,D07,L3,2025-10,40,35
812,D02,L5,2025-10,45,41
813,D04,L6,2025-10,14,13
814,D05,L7,2025-10,4,4
815,D04,L4,2025-10,42,40
816,D06,L6,2025-10,20,18
817,D10,L6,2025-10,10,10
818,D10,L2,2025-10,16,14
819,D08,L5,2025-10,14,13
820,D02,L7,2025-10,4,4
